Gene ID	source_id	Organism	Product Description	Gene Name or Symbol	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes
NCU08067	NCU08067-t26_1	Neurospora crassa OR74A	osmotic-12	os-12	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021;GO:0005886	integral component of membrane;plasma membrane	GO:0005034;GO:0005515	osmosensor activity;protein binding	GO:0006950	response to stress
NCU08068	NCU08068-t26_1	Neurospora crassa OR74A	mitotic spindle biogenesis protein Spc19	dash-8	GO:0042729	DASH complex	GO:0051010	microtubule plus-end binding	GO:0034599	cellular response to oxidative stress	GO:0042729;GO:0005737;GO:0005876	DASH complex;cytoplasm;spindle microtubule	N/A	N/A	GO:0008608	attachment of spindle microtubules to kinetochore
NCU08069	NCU08069-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	N/A	N/A
NCU08070	NCU08070-t26_1	Neurospora crassa OR74A	meiotically up-regulated-1	mup-1	GO:0005739	mitochondrion	GO:0052856;GO:0052857	NADHX epimerase activity;NADPHX epimerase activity	GO:0034599;GO:0009416	cellular response to oxidative stress;response to light stimulus	N/A	N/A	GO:0046872;GO:0000166	metal ion binding;nucleotide binding	N/A	N/A
NCU08071	NCU08071-t26_1	Neurospora crassa OR74A	ribosomal protein S16	cyt-21	GO:0005761;GO:0005763;GO:0015935	mitochondrial ribosome;mitochondrial small ribosomal subunit;small ribosomal subunit	GO:0003735	structural constituent of ribosome	N/A	N/A	GO:0005739;GO:0005840	mitochondrion;ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation
NCU08072	NCU08072-t26_1	Neurospora crassa OR74A	Cell wall glucanase	gh16-10	GO:0009277	fungal-type cell wall	GO:0016757	glycosyltransferase activity	GO:0006037;GO:0034599;GO:0031505	cell wall chitin metabolic process;cellular response to oxidative stress;fungal-type cell wall organization	GO:0005618;GO:0016021	cell wall;integral component of membrane	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0005975	carbohydrate metabolic process
NCU08073	NCU08073-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08074	NCU08074-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08075	NCU08075-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08076	NCU08076-t26_1	Neurospora crassa OR74A	TPR domain-containing protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU08077	NCU08077-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08078	NCU08078-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08079	NCU08079-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08080	NCU08080-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08081	NCU08081-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08083	NCU08083-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08084	NCU08084-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08085	NCU08085-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08086	NCU08086-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08087	NCU08087-t26_1	Neurospora crassa OR74A	hypothetical protein	gh26-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0004553;GO:0016985	hydrolase activity, hydrolyzing O-glycosyl compounds;mannan endo-1,4-beta-mannosidase activity	GO:0006080	substituted mannan metabolic process
NCU08089	NCU08089-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08090	NCU08090-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	N/A	N/A
NCU08091	NCU08091-t26_1	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	GO:0043291;GO:0005634	RAVE complex;nucleus	N/A	N/A	GO:0032502;GO:0007035	developmental process;vacuolar acidification	N/A	N/A	N/A	N/A	N/A	N/A
NCU08091	NCU08091-t26_2	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08092	NCU08092-t26_1	Neurospora crassa OR74A	nipsnap family protein	N/A	GO:0005739	mitochondrion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016192	vesicle-mediated transport
NCU08093	NCU08093-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	N/A	N/A	GO:0015986;GO:0034599;GO:0030448	ATP synthesis coupled proton transport;cellular response to oxidative stress;hyphal growth	GO:0016021;GO:0005739;GO:0045263	integral component of membrane;mitochondrion;proton-transporting ATP synthase complex, coupling factor F(o)	GO:0015078	proton transmembrane transporter activity	GO:0015986;GO:0045333;GO:0006091	ATP synthesis coupled proton transport;cellular respiration;generation of precursor metabolites and energy
NCU08094	NCU08094-t26_1	Neurospora crassa OR74A	folate-1	fol-1	GO:0005737;GO:0005634	cytoplasm;nucleus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08095	NCU08095-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0009416	response to light stimulus	N/A	N/A	N/A	N/A	N/A	N/A
NCU08096	NCU08096-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08097	NCU08097-t26_1	Neurospora crassa OR74A	exo-beta-1,3-glucanase	gh55-5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0000272	polysaccharide catabolic process
NCU08098	NCU08098-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08099	NCU08099-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08100	NCU08100-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08101	NCU08101-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08102	NCU08102-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08103	NCU08103-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08105	NCU08105-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08106	NCU08106-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08107	NCU08107-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003676	nucleic acid binding	N/A	N/A
NCU08109	NCU08109-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003676	nucleic acid binding	N/A	N/A
NCU08110	NCU08110-t26_1	Neurospora crassa OR74A	vacuolar transporter chaperone 4	vtc-3	GO:0005783;GO:0000329;GO:0031310;GO:0033254	endoplasmic reticulum;fungal-type vacuole membrane;intrinsic component of vacuolar membrane;vacuolar transporter chaperone complex	N/A	N/A	GO:0016237;GO:0006797;GO:0007034;GO:0042144	lysosomal microautophagy;polyphosphate metabolic process;vacuolar transport;vacuole fusion, non-autophagic	GO:0016021	integral component of membrane	N/A	N/A	GO:0007033	vacuole organization
NCU08111	NCU08111-t26_1	Neurospora crassa OR74A	arginine N-methyltransferase 2	ant-1	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0008757;GO:0019702	S-adenosylmethionine-dependent methyltransferase activity;protein-arginine N5-methyltransferase activity	GO:0018216	peptidyl-arginine methylation	N/A	N/A	GO:0016274	protein-arginine N-methyltransferase activity	GO:0018126	protein hydroxylation
NCU08112	NCU08112-t26_1	Neurospora crassa OR74A	Cytochrome P450 monooxygenase	cyp450-18	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	GO:0020037;GO:0005506;GO:0004497;GO:0016705	heme binding;iron ion binding;monooxygenase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0017000;GO:0055114	antibiotic biosynthetic process;obsolete oxidation-reduction process
NCU08113	NCU08113-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08114	NCU08114-t26_1	Neurospora crassa OR74A	hexose transporter	cdt-2	N/A	N/A	GO:0005351	carbohydrate:proton symporter activity	GO:0019533;GO:0030245;GO:0046323	cellobiose transport;cellulose catabolic process;glucose import	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0022857	transmembrane transporter activity	GO:0055085	transmembrane transport
NCU08115	NCU08115-t26_1	Neurospora crassa OR74A	DNA mismatch repair protein MSH3	msh3	GO:0032302;GO:0032300	MutSbeta complex;mismatch repair complex	GO:0008094;GO:0032135	ATP-dependent activity, acting on DNA;DNA insertion or deletion binding	GO:0043570;GO:0000710;GO:0006298;GO:0006312;GO:0051096;GO:0007131;GO:0000735;GO:0043111	maintenance of DNA repeat elements;meiotic mismatch repair;mismatch repair;mitotic recombination;positive regulation of helicase activity;reciprocal meiotic recombination;removal of nonhomologous ends;replication fork arrest	GO:0005634	nucleus	GO:0005524;GO:0003677;GO:0030983	ATP binding;DNA binding;mismatched DNA binding	GO:0006281;GO:0006298	DNA repair;mismatch repair
NCU08116	NCU08116-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08117	NCU08117-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	GO:0003962	cystathionine gamma-synthase activity	GO:0019346	transsulfuration	N/A	N/A	GO:0003824;GO:0030170	catalytic activity;pyridoxal phosphate binding	GO:0006520;GO:0006807;GO:0019346	cellular amino acid metabolic process;nitrogen compound metabolic process;transsulfuration
NCU08118	NCU08118-t26_1	Neurospora crassa OR74A	peroxisome biosynthesis protein	pex1	GO:0005829;GO:0005624;GO:0005625;GO:0005778;GO:0005777	cytosol;obsolete membrane fraction;obsolete soluble fraction;peroxisomal membrane;peroxisome	GO:0016887;GO:0046982	ATP hydrolysis activity;protein heterodimerization activity	GO:0007031;GO:0016558;GO:0016562	peroxisome organization;protein import into peroxisome matrix;protein import into peroxisome matrix, receptor recycling	GO:0005778;GO:0005777	peroxisomal membrane;peroxisome	GO:0005524;GO:0016887	ATP binding;ATP hydrolysis activity	GO:0007031;GO:0006625	peroxisome organization;protein targeting to peroxisome
NCU08119	NCU08119-t26_1	Neurospora crassa OR74A	DNA replication licensing factor mcm7	cdc47	GO:0042555;GO:0005634	MCM complex;nucleus	GO:0003688;GO:0003697	DNA replication origin binding;single-stranded DNA binding	GO:0006270;GO:0006271;GO:0006268;GO:0000727;GO:0006267	DNA replication initiation;DNA strand elongation involved in DNA replication;DNA unwinding involved in DNA replication;double-strand break repair via break-induced replication;pre-replicative complex assembly involved in nuclear cell cycle DNA replication	GO:0042555;GO:0097373;GO:0000790	MCM complex;MCM core complex;nuclear chromatin	GO:0033679;GO:0005524;GO:0003677;GO:0003678;GO:1990518;GO:0003727	3'-5' DNA/RNA helicase activity;ATP binding;DNA binding;DNA helicase activity;single-stranded 3'-5' DNA helicase activity;single-stranded RNA binding	GO:0006260;GO:0006270;GO:0051726	DNA replication;DNA replication initiation;regulation of cell cycle
NCU08120	NCU08120-t26_1	Neurospora crassa OR74A	mitochondrial ribosomal protein-80	mrp-80	GO:0005761;GO:0005763	mitochondrial ribosome;mitochondrial small ribosomal subunit	GO:0003735	structural constituent of ribosome	GO:0034599	cellular response to oxidative stress	GO:0005763;GO:0005739	mitochondrial small ribosomal subunit;mitochondrion	N/A	N/A	GO:0032543	mitochondrial translation
NCU08121	NCU08121-t26_1	Neurospora crassa OR74A	ribosome biogenesis-48	rbg-48	GO:0005730;GO:0030687	nucleolus;preribosome, large subunit precursor	N/A	N/A	GO:0000447;GO:0042273;GO:0000055	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);ribosomal large subunit biogenesis;ribosomal large subunit export from nucleus	GO:0005634	nucleus	N/A	N/A	GO:0042254	ribosome biogenesis
NCU08123	NCU08123-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	GO:0005634	nucleus	N/A	N/A	N/A	N/A
NCU08124	NCU08124-t26_1	Neurospora crassa OR74A	steroid-2	std-2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	GO:0055114	obsolete oxidation-reduction process
NCU08125	NCU08125-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08126	NCU08126-t26_1	Neurospora crassa OR74A	lactate dehydrogenase-6	ldh-6	GO:0005739	mitochondrion	GO:0004458;GO:0008720;GO:0050660	D-lactate dehydrogenase (cytochrome) activity;D-lactate dehydrogenase activity;flavin adenine dinucleotide binding	GO:1903457	lactate catabolic process	GO:0005739	mitochondrion	GO:0071949;GO:0003824;GO:0050660;GO:0016491	FAD binding;catalytic activity;flavin adenine dinucleotide binding;oxidoreductase activity	GO:0005975;GO:0019659;GO:0055114;GO:1902600	carbohydrate metabolic process;glucose catabolic process to lactate;obsolete oxidation-reduction process;proton transmembrane transport
NCU08127	NCU08127-t26_1	Neurospora crassa OR74A	glycosylhydrolase family 76-3 protein	gh76-3	N/A	N/A	GO:0015923	mannosidase activity	GO:0009272;GO:0030448;GO:0009416	fungal-type cell wall biogenesis;hyphal growth;response to light stimulus	GO:0016021	integral component of membrane	GO:0003824;GO:0008496	catalytic activity;mannan endo-1,6-alpha-mannosidase activity	GO:0051211;GO:0016052	anisotropic cell growth;carbohydrate catabolic process
NCU08128	NCU08128-t26_1	Neurospora crassa OR74A	cytochrome-P450-like-19	cyp450-19	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	GO:0020037;GO:0005506;GO:0004497;GO:0016705	heme binding;iron ion binding;monooxygenase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0017000;GO:0055114	antibiotic biosynthetic process;obsolete oxidation-reduction process
NCU08130	NCU08130-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08131	NCU08131-t26_1	Neurospora crassa OR74A	Alpha-amylase	gh13-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0004556;GO:0103025;GO:0005509;GO:0003824	alpha-amylase activity;alpha-amylase activity (releasing maltohexaose);calcium ion binding;catalytic activity	GO:0016052;GO:0005975;GO:0000272	carbohydrate catabolic process;carbohydrate metabolic process;polysaccharide catabolic process
NCU08132	NCU08132-t26_1	Neurospora crassa OR74A	alpha-1,3-glucan synthase 1	ags-1	GO:0009277	fungal-type cell wall	GO:0047657	alpha-1,3-glucan synthase activity	GO:0097736;GO:0061794;GO:0048315;GO:0070600;GO:0009272	aerial mycelium formation;conidium development;conidium formation;fungal-type cell wall (1->3)-alpha-glucan biosynthetic process;fungal-type cell wall biogenesis	GO:0016021	integral component of membrane	GO:0003824	catalytic activity	GO:0005975	carbohydrate metabolic process
NCU08133	NCU08133-t26_1	Neurospora crassa OR74A	carbonic anhydrase-4	cah-4	N/A	N/A	GO:0004089	carbonate dehydratase activity	GO:0071244;GO:0034599;GO:0009416	cellular response to carbon dioxide;cellular response to oxidative stress;response to light stimulus	N/A	N/A	GO:0004089;GO:0008270	carbonate dehydratase activity;zinc ion binding	GO:0005975;GO:0015976	carbohydrate metabolic process;carbon utilization
NCU08134	NCU08134-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08135	NCU08135-t26_1	Neurospora crassa OR74A	DNA mismatch repair protein msh6	msh6	GO:0032301;GO:0032300	MutSalpha complex;mismatch repair complex	GO:0008094;GO:0000400	ATP-dependent activity, acting on DNA;four-way junction DNA binding	GO:0036297;GO:0043570;GO:0000710;GO:0006298;GO:0045910;GO:0006290	interstrand cross-link repair;maintenance of DNA repeat elements;meiotic mismatch repair;mismatch repair;negative regulation of DNA recombination;pyrimidine dimer repair	N/A	N/A	GO:0005524;GO:0030983	ATP binding;mismatched DNA binding	GO:0006298	mismatch repair
NCU08136	NCU08136-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0005634	nucleus	GO:0000981;GO:0000976	DNA-binding transcription factor activity, RNA polymerase II-specific;transcription cis-regulatory region binding	GO:0006355	regulation of transcription, DNA-templated	GO:0042025	host cell nucleus	GO:0000981;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific;zinc ion binding	GO:0006355	regulation of transcription, DNA-templated
NCU08137	NCU08137-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0009353	mitochondrial oxoglutarate dehydrogenase complex	N/A	N/A	GO:0006103	2-oxoglutarate metabolic process	GO:0005739	mitochondrion	N/A	N/A	N/A	N/A
NCU08138	NCU08138-t26_1	Neurospora crassa OR74A	cytochrome-27	cyt-27	GO:0005739	mitochondrion	GO:0004408	holocytochrome-c synthase activity	GO:0018063	cytochrome c-heme linkage	GO:0005743;GO:0005739	mitochondrial inner membrane;mitochondrion	GO:0004408;GO:0046872	holocytochrome-c synthase activity;metal ion binding	N/A	N/A
NCU08140	NCU08140-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08141	NCU08141-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08145	NCU08145-t26_1	Neurospora crassa OR74A	coenzyme A transferase	acat-3	GO:0005739	mitochondrion	GO:0008260;GO:0008410	3-oxoacid CoA-transferase activity;CoA-transferase activity	GO:0046950	cellular ketone body metabolic process	GO:0005739	mitochondrion	GO:0008410	CoA-transferase activity	GO:0046952	ketone body catabolic process
NCU08146	NCU08146-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08147	NCU08147-t26_1	Neurospora crassa OR74A	Na or K P-type ATPase	ph7	GO:0005886	plasma membrane	GO:0016887;GO:0008553	ATP hydrolysis activity;P-type proton-exporting transporter activity	N/A	N/A	GO:0000324;GO:0016021	fungal-type vacuole;integral component of membrane	GO:0005524;GO:0019829;GO:0005388;GO:0008556;GO:0000166	ATP binding;ATPase-coupled cation transmembrane transporter activity;P-type calcium transporter activity;P-type potassium transmembrane transporter activity;nucleotide binding	GO:0006812;GO:0097623;GO:0051208	cation transport;potassium ion export across plasma membrane;sequestering of calcium ion
NCU08148	NCU08148-t26_1	Neurospora crassa OR74A	H+/nucleoside cotransporter	N/A	GO:0005887	integral component of plasma membrane	GO:0005337;GO:0015293	nucleoside transmembrane transporter activity;symporter activity	GO:0034599;GO:1901642	cellular response to oxidative stress;nucleoside transmembrane transport	GO:0016020	membrane	GO:0005337;GO:0015295	nucleoside transmembrane transporter activity;solute:proton symporter activity	GO:1901642;GO:0006862	nucleoside transmembrane transport;nucleotide transport
NCU08149	NCU08149-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08150	NCU08150-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08151	NCU08151-t26_1	Neurospora crassa OR74A	DNA repair-26	dnr-26	N/A	N/A	GO:0003690;GO:0050145;GO:0046404;GO:0046403	double-stranded DNA binding;nucleoside monophosphate kinase activity;polydeoxyribonucleotide 5'-hydroxyl-kinase activity;polynucleotide 3'-phosphatase activity	GO:0006281;GO:0046939	DNA repair;nucleotide phosphorylation	N/A	N/A	N/A	N/A	N/A	N/A
NCU08152	NCU08152-t26_1	Neurospora crassa OR74A	sugar transporter-6	sut-6	N/A	N/A	GO:0005351	carbohydrate:proton symporter activity	GO:0046323	glucose import	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0022857	transmembrane transporter activity	GO:0008643;GO:0055085	carbohydrate transport;transmembrane transport
NCU08153	NCU08153-t26_1	Neurospora crassa OR74A	phosphodiesterase/alkaline phosphatase D	pho-12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003993;GO:0046872	acid phosphatase activity;metal ion binding	N/A	N/A
NCU08154	NCU08154-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	N/A	N/A
NCU08155	NCU08155-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08156	NCU08156-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	GO:0016787	hydrolase activity	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	N/A	N/A
NCU08157	NCU08157-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	N/A	N/A
NCU08158	NCU08158-t26_1	Neurospora crassa OR74A	dual specificity phosphatase	dsp-4	GO:0005634	nucleus	GO:0008138	protein tyrosine/serine/threonine phosphatase activity	GO:0006470	protein dephosphorylation	N/A	N/A	GO:0016791;GO:0008138	phosphatase activity;protein tyrosine/serine/threonine phosphatase activity	GO:0016311;GO:0006470;GO:0006468;GO:0042594	dephosphorylation;protein dephosphorylation;protein phosphorylation;response to starvation
NCU08159	NCU08159-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0009416	response to light stimulus	N/A	N/A	N/A	N/A	N/A	N/A
NCU08161	NCU08161-t26_1	Neurospora crassa OR74A	histone chaperone RTT106	rhc-1	GO:0035101;GO:0000790	FACT complex;nuclear chromatin	GO:0042393;GO:0031491	histone binding;nucleosome binding	GO:0034599	cellular response to oxidative stress	N/A	N/A	GO:0003677	DNA binding	N/A	N/A
NCU08162	NCU08162-t26_1	Neurospora crassa OR74A	Argininosuccinate lyase	arg-10	GO:0005737;GO:0005829	cytoplasm;cytosol	GO:0004056	argininosuccinate lyase activity	GO:0006526;GO:0042450;GO:0034198	arginine biosynthetic process;arginine biosynthetic process via ornithine;cellular response to amino acid starvation	N/A	N/A	GO:0004056;GO:0003824	argininosuccinate lyase activity;catalytic activity	GO:0006526;GO:0042450	arginine biosynthetic process;arginine biosynthetic process via ornithine
NCU08163	NCU08163-t26_1	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	GO:0005768	endosome	N/A	N/A	GO:0007034	vacuolar transport	N/A	N/A	N/A	N/A	N/A	N/A
NCU08163	NCU08163-t26_2	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	GO:0005768	endosome	N/A	N/A	GO:0007034	vacuolar transport	N/A	N/A	N/A	N/A	N/A	N/A
NCU08164	NCU08164-t26_1	Neurospora crassa OR74A	retinol dehydrogenase 13	adh-14	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005975	carbohydrate metabolic process
NCU08165	NCU08165-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08166	NCU08166-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0031305;GO:1990246	integral component of mitochondrial inner membrane;uniplex complex	GO:0005262;GO:0042802;GO:0015292	calcium channel activity;identical protein binding;uniporter activity	GO:0036444;GO:0051560	calcium import into the mitochondrion;mitochondrial calcium ion homeostasis	N/A	N/A	N/A	N/A	GO:0051560	mitochondrial calcium ion homeostasis
NCU08167	NCU08167-t26_1	Neurospora crassa OR74A	siderophore transport-8	sit-8	N/A	N/A	GO:0016410	N-acyltransferase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08168	NCU08168-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08169	NCU08169-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU08170	NCU08170-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU08171	NCU08171-t26_1	Neurospora crassa OR74A	anchored cell wall protein 12	acw-12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
